iter	Passed	Remaining
0	8	8811
1	17	8615
2	26	8866
3	35	8754
4	43	8650
5	51	8594
6	60	8553
7	69	8588
8	78	8669
9	87	8632
10	95	8614
11	104	8615
12	113	8597
13	121	8559
14	130	8547
15	139	8589
16	148	8597
17	157	8599
18	166	8595
19	175	8608
20	184	8622
21	193	8618
22	202	8609
23	212	8639
24	221	8652
25	231	8687
26	241	8685
27	250	8697
28	259	8695
29	268	8693
30	276	8658
31	286	8668
32	296	8679
33	304	8655
34	313	8653
35	323	8649
36	332	8643
37	341	8633
38	349	8607
39	358	8608
40	369	8633
41	378	8637
42	388	8635
43	395	8602
44	404	8582
45	412	8565
46	421	8543
47	431	8555
48	439	8523
49	447	8509
50	456	8485
51	464	8474
52	473	8468
53	484	8486
54	493	8481
55	503	8483
56	511	8466
57	520	8460
58	532	8485
59	542	8492
60	550	8475
61	559	8463
62	578	8600
63	587	8586
64	596	8573
65	604	8551
66	613	8546
67	622	8535
68	632	8528
69	641	8516
70	651	8520
71	660	8512
72	669	8506
73	680	8513
74	690	8517
75	699	8508
76	709	8501
77	718	8493
78	728	8495
79	738	8489
80	746	8475
81	756	8463
82	765	8454
83	775	8460
84	785	8458
85	797	8470
86	806	8466
87	815	8455
88	825	8445
89	833	8430
90	842	8419
91	851	8408
92	860	8391
93	867	8365
94	876	8345
95	883	8322
96	892	8311
97	901	8297
98	909	8281
99	918	8265
100	926	8249
101	935	8235
102	944	8221
103	953	8210
104	961	8193
105	969	8180
106	978	8164
107	987	8152
108	995	8138
109	1004	8126
110	1013	8119
111	1021	8100
112	1030	8087
113	1039	8077
114	1048	8065
115	1056	8053
116	1066	8051
117	1076	8042
118	1084	8029
119	1093	8019
120	1101	8004
121	1111	7998
122	1120	7986
123	1128	7972
124	1137	7965
125	1146	7955
126	1155	7945
127	1166	7946
128	1176	7946
129	1186	7937
130	1195	7933
131	1206	7934
132	1215	7925
133	1225	7917
134	1236	7921
135	1246	7920
136	1258	7924
137	1269	7929
138	1280	7932
